task_type,metric,model,scenario,fraction,n,mean_degradation,median_degradation,std_degradation,ci95_low,ci95_high,positive_rate,expected_direction,p_expected_direction,q_expected_direction,supports_expected
classification,pr_auc,torch_mlp,contamination,0.05,81,-0.03264957683110483,-0.012850721593617997,0.06428335645637774,-0.04664906334827154,-0.01865009031393812,0.1111111111111111,inflate,2.42270676380483e-13,7.752661644175456e-13,True
classification,pr_auc,torch_mlp,contamination,0.1,81,-0.05055475971902304,-0.02525275191534737,0.0794018088775354,-0.06784670920790853,-0.03326281023013755,0.024691358024691357,inflate,3.1133741838094886e-15,3.1699809871514794e-14,True
classification,pr_auc,torch_mlp,contamination,0.2,81,-0.08179515589073182,-0.04872683301662961,0.09735869699101679,-0.10299771656877547,-0.06059259521268816,0.012345679012345678,inflate,2.8894048274683323e-15,3.1699809871514794e-14,True
classification,pr_auc,torch_mlp,contamination,0.5,81,-0.16296671557479964,-0.10641743442771034,0.13903709781963616,-0.1932459057666315,-0.13268752538296777,0.0,inflate,2.6813131325564844e-15,3.1699809871514794e-14,True
classification,pr_auc,torch_mlp,contamination,1.0,81,-0.2473339213967989,-0.17233300909243454,0.1968989290326192,-0.2902141326083471,-0.20445371018525071,0.0,inflate,2.6813131325564844e-15,3.1699809871514794e-14,True
classification,pr_auc,torch_mlp,random_label_noise,0.01,81,0.00509212373170019,0.004199495129212472,0.012400967365572446,0.002391468616531079,0.007792778846869301,0.6296296296296297,degrade,0.00011740347394355031,0.00015530538285446027,True
classification,pr_auc,torch_mlp,random_label_noise,0.02,81,0.0070989863363516755,0.007417457494212298,0.014626389552176537,0.003913683722766563,0.010284288949936788,0.7654320987654321,degrade,1.3497898514837255e-05,1.9299122982916246e-05,True
classification,pr_auc,torch_mlp,random_label_noise,0.05,81,0.018471338048700076,0.017506015857224333,0.017530145303664507,0.01465366196034647,0.02228901413705368,0.8888888888888888,degrade,4.264663163995736e-12,1.1282888370886358e-11,True
classification,pr_auc,torch_mlp,random_label_noise,0.1,81,0.03495660309662772,0.03566471956287831,0.02572445679931186,0.02935438806033314,0.04055881813292231,0.9259259259259259,degrade,6.164918209182493e-14,3.7662045787005774e-13,True
classification,pr_auc,torch_mlp,random_label_noise,0.2,81,0.0621690036270298,0.06666888671601812,0.03235388733946738,0.05512304593976801,0.06921496131429158,0.9753086419753086,degrade,7.0368825182937566e-15,5.3736193776061414e-14,True
