family,task_type,metric,model,scenario,fraction,n,mean_degradation,median_degradation,positive_rate
moleculenet,classification,roc_auc,rf,cliffs,0.1,9,-0.0004084748482017724,0.0010432852386237368,0.5555555555555556
moleculenet,classification,roc_auc,rf,cliffs,0.2,9,0.003136145453831649,0.006495560488346319,0.6666666666666666
moleculenet,classification,roc_auc,rf,cliffs,0.5,9,0.01685622450760725,0.00756474287828357,0.7777777777777778
moleculenet,classification,roc_auc,rf,cliffs,1.0,9,0.04566449478159841,0.023772660007399304,1.0
moleculenet,classification,roc_auc,rf,conflicts,0.01,9,0.0014150488862932785,-9.912767644726372e-05,0.3333333333333333
moleculenet,classification,roc_auc,rf,conflicts,0.02,9,0.009384280814311592,0.006827209533266987,0.7777777777777778
moleculenet,classification,roc_auc,rf,conflicts,0.05,9,0.006791895710570249,-0.0006938937351308461,0.4444444444444444
moleculenet,classification,roc_auc,rf,conflicts,0.1,9,0.016356659454406747,0.006542426645519517,0.8888888888888888
moleculenet,classification,roc_auc,rf,conflicts,0.2,9,0.02625602508394466,0.01992466296590001,0.8888888888888888
moleculenet,classification,roc_auc,rf,conflicts,0.5,9,0.05311205191653639,0.05055511498810472,1.0
moleculenet,classification,roc_auc,rf,conflicts,1.0,9,0.3640408122824026,0.36016633565044687,1.0
moleculenet,classification,roc_auc,rf,contamination,0.01,9,-0.004699092654092827,-0.006740681998413933,0.2222222222222222
moleculenet,classification,roc_auc,rf,contamination,0.02,9,-0.003756980032788509,-0.005452022204599505,0.2222222222222222
moleculenet,classification,roc_auc,rf,contamination,0.05,9,-0.011486409571174552,-0.008761561228264658,0.0
moleculenet,classification,roc_auc,rf,contamination,0.1,9,-0.013052752551630223,-0.011719385867554277,0.1111111111111111
moleculenet,classification,roc_auc,rf,contamination,0.2,9,-0.03627924654526339,-0.036082474226803996,0.0
moleculenet,classification,roc_auc,rf,contamination,0.5,9,-0.0922207836803213,-0.08019429024583646,0.0
moleculenet,classification,roc_auc,rf,contamination,1.0,9,-0.1427376532110691,-0.12708168120539243,0.0
moleculenet,classification,roc_auc,rf,random_label_noise,0.01,9,0.005799151717599853,0.0059476605868358234,0.6666666666666666
moleculenet,classification,roc_auc,rf,random_label_noise,0.02,9,0.003639425545716218,-0.0005540140584533448,0.4444444444444444
moleculenet,classification,roc_auc,rf,random_label_noise,0.05,9,0.007469981612423355,0.007307621161672162,0.8888888888888888
moleculenet,classification,roc_auc,rf,random_label_noise,0.1,9,0.004088944094117136,0.0034756703078452356,0.6666666666666666
moleculenet,classification,roc_auc,rf,random_label_noise,0.2,9,0.014625396799587779,0.015950844091360605,0.8888888888888888
moleculenet,classification,roc_auc,rf,random_label_noise,0.5,9,0.08332487131054533,0.09010705789056306,1.0
moleculenet,classification,roc_auc,rf,random_label_noise,1.0,9,0.3386144224700138,0.3327441731409548,1.0
moleculenet,classification,roc_auc,torch_mlp,cliffs,0.01,9,-0.0011531161940500695,0.0006853496115426516,0.5555555555555556
moleculenet,classification,roc_auc,torch_mlp,cliffs,0.02,9,0.004603226679740187,0.0009912767644727483,0.5555555555555556
moleculenet,classification,roc_auc,torch_mlp,cliffs,0.05,9,0.005539776498949187,0.010923535253227423,0.7777777777777778
moleculenet,classification,roc_auc,torch_mlp,cliffs,0.1,9,0.011164687178245715,0.01272343594836145,0.7777777777777778
moleculenet,classification,roc_auc,torch_mlp,cliffs,0.2,9,0.014230275086123142,0.010861469712015848,0.7777777777777778
moleculenet,classification,roc_auc,torch_mlp,cliffs,0.5,9,0.04508472493310137,0.02985352532274077,0.7777777777777778
moleculenet,classification,roc_auc,torch_mlp,cliffs,1.0,9,0.08067826864594099,0.07087884806355516,0.8888888888888888
moleculenet,classification,roc_auc,torch_mlp,conflicts,0.01,9,0.010521375419618038,0.004468718967229335,0.6666666666666666
moleculenet,classification,roc_auc,torch_mlp,conflicts,0.02,9,0.02750464899587056,0.02557100297914594,0.8888888888888888
moleculenet,classification,roc_auc,torch_mlp,conflicts,0.05,9,0.03817048386360655,0.03905630452022213,1.0
moleculenet,classification,roc_auc,torch_mlp,conflicts,0.1,9,0.054589965686969805,0.05325223435948356,1.0
moleculenet,classification,roc_auc,torch_mlp,conflicts,0.2,9,0.0668400864353243,0.07229374768775443,1.0
moleculenet,classification,roc_auc,torch_mlp,conflicts,0.5,9,0.12489411893332332,0.1301970033296338,1.0
moleculenet,classification,roc_auc,torch_mlp,conflicts,1.0,9,0.29427403532726615,0.3066658391261171,1.0
