mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975,dataset,family,task,metric_name,sota_model
observed_composition,observed,lgbm_basic,0.0,3.0,3.0,3.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
observed_composition,observed,torch_mlp_advanced,0.0,4.0,4.0,4.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
observed_composition,observed,torch_mlp_basic,0.0,5.0,5.0,5.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.0,ecfp_linear,0.009,3.5,1.5,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.0,ecfp_rf,0.068,3.5,1.0,5.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.0,lgbm_advanced,0.006,3.5,2.0,5.5,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.0,lgbm_basic,0.001,3.5,2.0,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.0,torch_mlp_advanced,0.026,3.5,1.0,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.0,torch_mlp_basic,0.003,3.5,2.0,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.05,ecfp_linear,0.007,3.5,1.5,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.05,ecfp_rf,0.062,3.5,1.0,5.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.05,lgbm_advanced,0.011,3.5,1.5,5.5,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.05,lgbm_basic,0.004,3.5,1.5,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.05,torch_mlp_advanced,0.019,3.5,1.5,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.05,torch_mlp_basic,0.002,3.5,2.0,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.1,ecfp_linear,0.004,3.5,1.5,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.1,ecfp_rf,0.052,3.5,1.0,5.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.1,lgbm_advanced,0.005,3.5,2.0,5.5,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.1,lgbm_basic,0.004,3.5,2.0,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
