mode,original_observed_rate,smallest_target_rate_sota_rank_probability_below_0_5,smallest_target_rate_sota_baseline_ci_includes_zero,smallest_target_rate_fraction_delta_positive_below_0_95,interpretation,interpretation_text,dataset,family,task,metric_name,sota_model
random_matched_control,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/Clearance_Microsome_AZ,tdc,regression,rmse,lgbm_advanced
clean_reference,,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/HIA_Hou,tdc,classification,auroc,ecfp_rf
leakage_curve,observed,0.0,,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/HIA_Hou,tdc,classification,auroc,ecfp_rf
observed_composition,observed,,,,stable,SOTA conclusion is stable.,tdc/HIA_Hou,tdc,classification,auroc,ecfp_rf
random_matched_control,observed,0.0,,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/HIA_Hou,tdc,classification,auroc,ecfp_rf
clean_reference,,,,,stable,SOTA conclusion is stable.,tdc/Half_Life_Obach,tdc,regression,rmse,torch_mlp_basic
conflict_curve,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/Half_Life_Obach,tdc,regression,rmse,torch_mlp_basic
leakage_curve,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/Half_Life_Obach,tdc,regression,rmse,torch_mlp_basic
observed_composition,observed,,,,stable,SOTA conclusion is stable.,tdc/Half_Life_Obach,tdc,regression,rmse,torch_mlp_basic
random_matched_control,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/Half_Life_Obach,tdc,regression,rmse,torch_mlp_basic
clean_reference,,,,,stable,SOTA conclusion is stable.,tdc/HydrationFreeEnergy_FreeSolv,tdc,regression,rmse,lgbm_advanced
leakage_curve,observed,0.5,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/HydrationFreeEnergy_FreeSolv,tdc,regression,rmse,lgbm_advanced
observed_composition,observed,,,,stable,SOTA conclusion is stable.,tdc/HydrationFreeEnergy_FreeSolv,tdc,regression,rmse,lgbm_advanced
random_matched_control,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/HydrationFreeEnergy_FreeSolv,tdc,regression,rmse,lgbm_advanced
clean_reference,,,,,stable,SOTA conclusion is stable.,tdc/Lipophilicity_AstraZeneca,tdc,regression,rmse,lgbm_advanced
conflict_curve,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/Lipophilicity_AstraZeneca,tdc,regression,rmse,lgbm_advanced
leakage_curve,observed,,0.5,,statistically indistinguishable,SOTA conclusion is statistically indistinguishable.,tdc/Lipophilicity_AstraZeneca,tdc,regression,rmse,lgbm_advanced
observed_composition,observed,,,,stable,SOTA conclusion is stable.,tdc/Lipophilicity_AstraZeneca,tdc,regression,rmse,lgbm_advanced
random_matched_control,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/Lipophilicity_AstraZeneca,tdc,regression,rmse,lgbm_advanced
clean_reference,,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/PAMPA_NCATS,tdc,classification,auroc,ecfp_rf
leakage_curve,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/PAMPA_NCATS,tdc,classification,auroc,ecfp_rf
observed_composition,observed,,,,stable,SOTA conclusion is stable.,tdc/PAMPA_NCATS,tdc,classification,auroc,ecfp_rf
random_matched_control,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/PAMPA_NCATS,tdc,classification,auroc,ecfp_rf
clean_reference,,,,,stable,SOTA conclusion is stable.,tdc/PPBR_AZ,tdc,regression,rmse,lgbm_advanced
conflict_curve,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/PPBR_AZ,tdc,regression,rmse,lgbm_advanced
leakage_curve,observed,,0.0,0.0,statistically indistinguishable,SOTA conclusion is statistically indistinguishable.,tdc/PPBR_AZ,tdc,regression,rmse,lgbm_advanced
observed_composition,observed,,,,stable,SOTA conclusion is stable.,tdc/PPBR_AZ,tdc,regression,rmse,lgbm_advanced
random_matched_control,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/PPBR_AZ,tdc,regression,rmse,lgbm_advanced
clean_reference,,,0.0,0.0,statistically indistinguishable,SOTA conclusion is statistically indistinguishable.,tdc/Pgp_Broccatelli,tdc,classification,auroc,ecfp_rf
